,optimizer,task,iteration,mean_rank,lb,ub
93,cocabo,xgboost_opt,93.0,2.6666666666666665,2.01625,3.3337499999999998
94,cocabo,xgboost_opt,94.0,2.6666666666666665,2.033333333333333,3.35
95,cocabo,xgboost_opt,95.0,2.55,1.9833333333333334,3.1666666666666665
96,cocabo,xgboost_opt,96.0,2.55,2.01625,3.167083333333333
97,cocabo,xgboost_opt,97.0,2.533333333333333,1.9662499999999998,3.150416666666666
98,cocabo,xgboost_opt,98.0,2.533333333333333,1.95,3.1337499999999996
99,cocabo,xgboost_opt,99.0,2.55,1.9166666666666667,3.167083333333333
100,cocabo,xgboost_opt,100.0,2.55,1.9829166666666667,3.216666666666667
101,cocabo,xgboost_opt,101.0,2.55,1.9666666666666666,3.1841666666666657
102,cocabo,xgboost_opt,102.0,2.55,2.0,3.1666666666666665
103,cocabo,xgboost_opt,103.0,2.566666666666667,1.9833333333333334,3.2
104,cocabo,xgboost_opt,104.0,2.6166666666666667,2.0166666666666666,3.267083333333333
105,cocabo,xgboost_opt,105.0,2.6166666666666667,2.05,3.3504166666666664
106,cocabo,xgboost_opt,106.0,2.6166666666666667,1.9833333333333334,3.267083333333333
107,cocabo,xgboost_opt,107.0,2.6166666666666667,1.9995833333333333,3.2333333333333334
108,cocabo,xgboost_opt,108.0,2.65,2.06625,3.300416666666666
109,cocabo,xgboost_opt,109.0,2.65,2.05,3.267083333333333
110,cocabo,xgboost_opt,110.0,2.5833333333333335,2.0,3.2666666666666666
111,cocabo,xgboost_opt,111.0,2.5833333333333335,2.0,3.217083333333333
112,cocabo,xgboost_opt,112.0,2.5833333333333335,2.033333333333333,3.183333333333333
113,cocabo,xgboost_opt,113.0,2.566666666666667,2.0166666666666666,3.2
114,cocabo,xgboost_opt,114.0,2.5833333333333335,2.033333333333333,3.25
115,cocabo,xgboost_opt,115.0,2.566666666666667,2.0329166666666665,3.1666666666666665
116,cocabo,xgboost_opt,116.0,2.566666666666667,2.0166666666666666,3.1837499999999994
117,cocabo,xgboost_opt,117.0,2.5833333333333335,2.05,3.2333333333333334
118,cocabo,xgboost_opt,118.0,2.5833333333333335,2.0,3.217083333333333
119,cocabo,xgboost_opt,119.0,2.6166666666666667,2.033333333333333,3.1837499999999994
120,cocabo,xgboost_opt,120.0,2.55,1.9833333333333334,3.216666666666667
121,cocabo,xgboost_opt,121.0,2.55,1.9666666666666666,3.1666666666666665
122,cocabo,xgboost_opt,122.0,2.55,2.0166666666666666,3.15
123,cocabo,xgboost_opt,123.0,2.566666666666667,2.033333333333333,3.167499999999999
124,cocabo,xgboost_opt,124.0,2.566666666666667,2.066666666666667,3.1333333333333333
125,cocabo,xgboost_opt,125.0,2.566666666666667,2.0,3.183333333333333
126,cocabo,xgboost_opt,126.0,2.566666666666667,2.0,3.1666666666666665
127,cocabo,xgboost_opt,127.0,2.566666666666667,2.0166666666666666,3.1333333333333333
128,cocabo,xgboost_opt,128.0,2.566666666666667,2.05,3.1666666666666665
129,cocabo,xgboost_opt,129.0,2.566666666666667,2.0,3.15
130,cocabo,xgboost_opt,130.0,2.566666666666667,1.9829166666666667,3.1333333333333333
131,cocabo,xgboost_opt,131.0,2.45,1.9333333333333333,3.0
132,cocabo,xgboost_opt,132.0,2.4,1.8666666666666667,3.033333333333333
133,cocabo,xgboost_opt,133.0,2.35,1.8333333333333333,2.9166666666666665
134,cocabo,xgboost_opt,134.0,2.35,1.8333333333333333,2.9166666666666665
135,cocabo,xgboost_opt,135.0,2.3833333333333333,1.85,2.95
136,cocabo,xgboost_opt,136.0,2.3833333333333333,1.8833333333333333,2.933333333333333
137,cocabo,xgboost_opt,137.0,2.3833333333333333,1.85,2.917083333333333
138,cocabo,xgboost_opt,138.0,2.3666666666666667,1.85,2.917083333333333
139,cocabo,xgboost_opt,139.0,2.3666666666666667,1.8333333333333333,2.933333333333333
140,cocabo,xgboost_opt,140.0,2.3833333333333333,1.8,2.966666666666667
141,cocabo,xgboost_opt,141.0,2.3833333333333333,1.85,2.900416666666666
142,cocabo,xgboost_opt,142.0,2.3833333333333333,1.8833333333333333,2.9833333333333334
143,cocabo,xgboost_opt,143.0,2.3833333333333333,1.85,2.95
144,cocabo,xgboost_opt,144.0,2.3833333333333333,1.8495833333333334,2.9833333333333334
145,cocabo,xgboost_opt,145.0,2.3833333333333333,1.85,2.9504166666666665
146,cocabo,xgboost_opt,146.0,2.3833333333333333,1.8666666666666667,2.966666666666667
147,cocabo,xgboost_opt,147.0,2.35,1.85,2.9
148,cocabo,xgboost_opt,148.0,2.4,1.9,2.95
149,cocabo,xgboost_opt,149.0,2.4,1.9329166666666666,2.933333333333333
150,cocabo,xgboost_opt,150.0,2.4,1.8833333333333333,2.933333333333333
151,cocabo,xgboost_opt,151.0,2.4,1.8829166666666666,2.917083333333333
152,cocabo,xgboost_opt,152.0,2.4,1.9329166666666666,2.966666666666667
153,cocabo,xgboost_opt,153.0,2.4166666666666665,1.9166666666666667,2.9166666666666665
154,cocabo,xgboost_opt,154.0,2.4166666666666665,1.9166666666666667,2.9166666666666665
