,optimizer,task_name,iteration,mean_rank,lb,ub,mean_proportion
62,PFN-CoCaBO,xgboost_opt,62.0,,0.5166666666666667,0.8004166666666663,0.6666666666666666
63,PFN-CoCaBO,xgboost_opt,63.0,,0.5166666666666667,0.8166666666666667,0.6666666666666666
64,PFN-CoCaBO,xgboost_opt,64.0,,0.5333333333333333,0.8333333333333334,0.6833333333333333
65,PFN-CoCaBO,xgboost_opt,65.0,,0.55,0.8337499999999997,0.7
66,PFN-CoCaBO,xgboost_opt,66.0,,0.55,0.85,0.7
67,PFN-CoCaBO,xgboost_opt,67.0,,0.6,0.8833333333333333,0.75
68,PFN-CoCaBO,xgboost_opt,68.0,,0.6166666666666667,0.8833333333333333,0.75
69,PFN-CoCaBO,xgboost_opt,69.0,,0.6333333333333333,0.8837499999999996,0.7666666666666667
70,PFN-CoCaBO,xgboost_opt,70.0,,0.6166666666666667,0.8833333333333333,0.75
71,PFN-CoCaBO,xgboost_opt,71.0,,0.6,0.9,0.75
72,PFN-CoCaBO,xgboost_opt,72.0,,0.6162500000000001,0.8833333333333333,0.75
73,PFN-CoCaBO,xgboost_opt,73.0,,0.5666666666666667,0.85,0.7166666666666667
74,PFN-CoCaBO,xgboost_opt,74.0,,0.5666666666666667,0.85,0.7166666666666667
75,PFN-CoCaBO,xgboost_opt,75.0,,0.6162500000000001,0.8666666666666667,0.75
76,PFN-CoCaBO,xgboost_opt,76.0,,0.6162500000000001,0.8833333333333333,0.75
77,PFN-CoCaBO,xgboost_opt,77.0,,0.6,0.8666666666666667,0.75
78,PFN-CoCaBO,xgboost_opt,78.0,,0.6,0.8833333333333333,0.75
79,PFN-CoCaBO,xgboost_opt,79.0,,0.6166666666666667,0.8833333333333333,0.75
80,PFN-CoCaBO,xgboost_opt,80.0,,0.6166666666666667,0.8833333333333333,0.75
