,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
36,casmopolitan,rosenbrock,36.0,3.4,3.02,3.75
49,casmopolitan,rosenbrock,49.0,3.15,2.83,3.49
64,casmopolitan,rosenbrock,64.0,2.78,2.54,3.06
81,casmopolitan,rosenbrock,81.0,2.49,2.29,2.7
100,casmopolitan,rosenbrock,100.0,2.5,2.3,2.7
121,casmopolitan,rosenbrock,121.0,2.5,2.31,2.7
144,casmopolitan,rosenbrock,144.0,2.41,2.24975,2.57
169,casmopolitan,rosenbrock,169.0,2.37,2.18,2.55
196,casmopolitan,rosenbrock,196.0,2.49,2.28975,2.68025
4,bodi,rosenbrock,4.0,4.82,4.389749999999999,5.24
9,bodi,rosenbrock,9.0,4.63,4.22975,5.020249999999999
16,bodi,rosenbrock,16.0,4.75,4.3397499999999996,5.12
25,bodi,rosenbrock,25.0,4.17,3.74,4.59
36,bodi,rosenbrock,36.0,4.27,3.85975,4.66
49,bodi,rosenbrock,49.0,3.3,2.9497500000000003,3.67
64,bodi,rosenbrock,64.0,3.25,2.97,3.5102499999999996
81,bodi,rosenbrock,81.0,2.93,2.66,3.19
100,bodi,rosenbrock,100.0,2.84,2.6,3.07
121,bodi,rosenbrock,121.0,2.65,2.46,2.84
144,bodi,rosenbrock,144.0,2.53,2.35,2.7
169,bodi,rosenbrock,169.0,2.45,2.29,2.61
196,bodi,rosenbrock,196.0,2.39,2.22,2.56025
4,dummy_baseline,rosenbrock,4.0,3.56,3.26,3.84
9,dummy_baseline,rosenbrock,9.0,4.31,4.019749999999999,4.6
16,dummy_baseline,rosenbrock,16.0,4.83,4.55,5.09
25,dummy_baseline,rosenbrock,25.0,5.9,5.69,6.11
36,dummy_baseline,rosenbrock,36.0,6.42,6.26,6.59
49,dummy_baseline,rosenbrock,49.0,6.82,6.72,6.9
64,dummy_baseline,rosenbrock,64.0,6.98,6.95,7.0
81,dummy_baseline,rosenbrock,81.0,7.0,7.0,7.0
100,dummy_baseline,rosenbrock,100.0,7.0,7.0,7.0
121,dummy_baseline,rosenbrock,121.0,7.0,7.0,7.0
144,dummy_baseline,rosenbrock,144.0,7.0,7.0,7.0
169,dummy_baseline,rosenbrock,169.0,7.0,7.0,7.0
196,dummy_baseline,rosenbrock,196.0,7.0,7.0,7.0
4,pfn_cocabo_51,rosenbrock,4.0,3.33,3.0,3.62
9,pfn_cocabo_51,rosenbrock,9.0,2.79,2.49,3.12
16,pfn_cocabo_51,rosenbrock,16.0,2.66,2.34,3.0
25,pfn_cocabo_51,rosenbrock,25.0,2.64,2.36,2.92025
36,pfn_cocabo_51,rosenbrock,36.0,2.54,2.31,2.78
49,pfn_cocabo_51,rosenbrock,49.0,2.85,2.6,3.1102499999999997
64,pfn_cocabo_51,rosenbrock,64.0,2.91,2.67,3.15
81,pfn_cocabo_51,rosenbrock,81.0,3.24,3.01,3.45
100,pfn_cocabo_51,rosenbrock,100.0,3.25,3.04,3.47
121,pfn_cocabo_51,rosenbrock,121.0,3.4,3.24,3.58
144,pfn_cocabo_51,rosenbrock,144.0,3.59,3.43,3.74
169,pfn_cocabo_51,rosenbrock,169.0,3.58,3.4,3.73
196,pfn_cocabo_51,rosenbrock,196.0,3.62,3.41975,3.8
4,pfn_casmopolitan_16,rosenbrock,4.0,3.15,2.86,3.43
9,pfn_casmopolitan_16,rosenbrock,9.0,2.89,2.61,3.2
16,pfn_casmopolitan_16,rosenbrock,16.0,2.74,2.52,2.96
25,pfn_casmopolitan_16,rosenbrock,25.0,2.95,2.72,3.19
36,pfn_casmopolitan_16,rosenbrock,36.0,3.46,3.2397500000000004,3.69
49,pfn_casmopolitan_16,rosenbrock,49.0,3.98,3.77,4.17
64,pfn_casmopolitan_16,rosenbrock,64.0,4.35,4.2,4.51
81,pfn_casmopolitan_16,rosenbrock,81.0,4.64,4.5,4.760249999999999
100,pfn_casmopolitan_16,rosenbrock,100.0,4.69,4.56,4.81
121,pfn_casmopolitan_16,rosenbrock,121.0,4.89,4.82,4.96
144,pfn_casmopolitan_16,rosenbrock,144.0,5.01,4.94,5.08
169,pfn_casmopolitan_16,rosenbrock,169.0,5.02,4.97,5.07
196,pfn_casmopolitan_16,rosenbrock,196.0,4.94,4.86,5.01
4,pfn_bodi_24,rosenbrock,4.0,4.04,3.74,4.34
9,pfn_bodi_24,rosenbrock,9.0,3.94,3.66975,4.23
16,pfn_bodi_24,rosenbrock,16.0,3.97,3.7,4.23
25,pfn_bodi_24,rosenbrock,25.0,4.24,3.93,4.55
36,pfn_bodi_24,rosenbrock,36.0,4.84,4.57,5.08
49,pfn_bodi_24,rosenbrock,49.0,5.38,5.15,5.58
64,pfn_bodi_24,rosenbrock,64.0,5.76,5.62,5.87
81,pfn_bodi_24,rosenbrock,81.0,5.94,5.89,5.99
100,pfn_bodi_24,rosenbrock,100.0,5.96,5.92,5.99
121,pfn_bodi_24,rosenbrock,121.0,5.98,5.95,6.0
144,pfn_bodi_24,rosenbrock,144.0,5.91,5.84,5.97
169,pfn_bodi_24,rosenbrock,169.0,5.96,5.92,5.99
196,pfn_bodi_24,rosenbrock,196.0,5.94,5.88,5.99
4,cocabo,levy,4.0,4.47,4.0,4.91
9,cocabo,levy,9.0,4.59,4.15975,5.04
16,cocabo,levy,16.0,4.65,4.1995000000000005,5.07025
25,cocabo,levy,25.0,4.14,3.66975,4.58
36,cocabo,levy,36.0,3.63,3.23,4.05
49,cocabo,levy,49.0,2.84,2.4497500000000003,3.26
64,cocabo,levy,64.0,2.32,2.02,2.63
81,cocabo,levy,81.0,2.35,2.01975,2.69
100,cocabo,levy,100.0,2.07,1.8,2.36
121,cocabo,levy,121.0,1.96,1.69,2.2802499999999997
144,cocabo,levy,144.0,1.76,1.52,2.01
169,cocabo,levy,169.0,1.72,1.52,1.95
196,cocabo,levy,196.0,1.61,1.4197499999999998,1.81
4,casmopolitan,levy,4.0,4.66,4.23,5.07
9,casmopolitan,levy,9.0,4.44,4.0,4.880249999999999
16,casmopolitan,levy,16.0,4.79,4.41,5.17
25,casmopolitan,levy,25.0,4.28,3.8497500000000002,4.73
36,casmopolitan,levy,36.0,3.89,3.52,4.28
49,casmopolitan,levy,49.0,3.43,3.11,3.8002499999999997
64,casmopolitan,levy,64.0,3.39,3.06975,3.72
81,casmopolitan,levy,81.0,2.94,2.65,3.25
100,casmopolitan,levy,100.0,2.86,2.59,3.15
121,casmopolitan,levy,121.0,2.47,2.24975,2.70025
144,casmopolitan,levy,144.0,2.43,2.21,2.63
169,casmopolitan,levy,169.0,2.61,2.37,2.85
196,casmopolitan,levy,196.0,2.61,2.42,2.8
4,bodi,levy,4.0,4.66,4.16,5.1202499999999995
9,bodi,levy,9.0,5.3,4.92,5.65025
16,bodi,levy,16.0,5.04,4.69,5.40025
25,bodi,levy,25.0,4.79,4.4,5.15
36,bodi,levy,36.0,4.85,4.4697499999999994,5.20025
49,bodi,levy,49.0,4.32,3.97975,4.68
64,bodi,levy,64.0,3.99,3.64,4.3302499999999995
81,bodi,levy,81.0,3.76,3.45,4.0802499999999995
100,bodi,levy,100.0,3.55,3.29,3.8002499999999997
121,bodi,levy,121.0,3.43,3.16,3.72
144,bodi,levy,144.0,3.18,2.96,3.42
169,bodi,levy,169.0,2.95,2.7397500000000004,3.17
196,bodi,levy,196.0,2.86,2.62,3.09
4,dummy_baseline,levy,4.0,3.57,3.32975,3.85
9,dummy_baseline,levy,9.0,4.02,3.65,4.340249999999999
16,dummy_baseline,levy,16.0,4.43,4.10975,4.77
25,dummy_baseline,levy,25.0,5.4,5.12975,5.67
36,dummy_baseline,levy,36.0,5.97,5.73,6.2
49,dummy_baseline,levy,49.0,6.46,6.27975,6.630249999999999
64,dummy_baseline,levy,64.0,6.81,6.70975,6.9
81,dummy_baseline,levy,81.0,6.88,6.8,6.94
