,optimizer,comparison,task,iteration,mean_rank,lb,ub
48,PFN-Casmopolitan,vs. PFNs,griewank,48.0,1.8666666666666667,1.5333333333333334,2.2333333333333334
49,PFN-Casmopolitan,vs. PFNs,griewank,49.0,1.8333333333333333,1.5,2.2
50,PFN-Casmopolitan,vs. PFNs,griewank,50.0,1.8666666666666667,1.5666666666666667,2.2
51,PFN-Casmopolitan,vs. PFNs,griewank,51.0,1.9333333333333333,1.6333333333333333,2.267499999999999
52,PFN-Casmopolitan,vs. PFNs,griewank,52.0,1.9333333333333333,1.6,2.2666666666666666
53,PFN-Casmopolitan,vs. PFNs,griewank,53.0,1.8333333333333333,1.5,2.2
54,PFN-Casmopolitan,vs. PFNs,griewank,54.0,1.8666666666666667,1.5333333333333334,2.2333333333333334
55,PFN-Casmopolitan,vs. PFNs,griewank,55.0,1.8333333333333333,1.5,2.167499999999999
56,PFN-Casmopolitan,vs. PFNs,griewank,56.0,1.8333333333333333,1.5,2.1666666666666665
57,PFN-Casmopolitan,vs. PFNs,griewank,57.0,1.8333333333333333,1.5,2.1666666666666665
58,PFN-Casmopolitan,vs. PFNs,griewank,58.0,1.8333333333333333,1.5,2.2333333333333334
59,PFN-Casmopolitan,vs. PFNs,griewank,59.0,1.8333333333333333,1.5,2.2
60,PFN-Casmopolitan,vs. PFNs,griewank,60.0,1.8333333333333333,1.5333333333333334,2.1666666666666665
61,PFN-Casmopolitan,vs. PFNs,griewank,61.0,1.8333333333333333,1.5325000000000002,2.2
62,PFN-Casmopolitan,vs. PFNs,griewank,62.0,1.8,1.5,2.1666666666666665
63,PFN-Casmopolitan,vs. PFNs,griewank,63.0,1.8666666666666667,1.5333333333333334,2.2333333333333334
64,PFN-Casmopolitan,vs. PFNs,griewank,64.0,1.8666666666666667,1.5666666666666667,2.2008333333333328
65,PFN-Casmopolitan,vs. PFNs,griewank,65.0,1.9333333333333333,1.6,2.3
66,PFN-Casmopolitan,vs. PFNs,griewank,66.0,1.9666666666666666,1.6333333333333333,2.3
67,PFN-Casmopolitan,vs. PFNs,griewank,67.0,1.9666666666666666,1.6333333333333333,2.3333333333333335
68,PFN-Casmopolitan,vs. PFNs,griewank,68.0,1.9666666666666666,1.6666666666666667,2.3666666666666667
69,PFN-Casmopolitan,vs. PFNs,griewank,69.0,1.9333333333333333,1.6333333333333333,2.3
70,PFN-Casmopolitan,vs. PFNs,griewank,70.0,1.9333333333333333,1.6,2.2666666666666666
